"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","142.164.6.70","131.243.1.10","TCP","62","1313  >  21 [SYN] Seq=1734984547 Win=8760 Len=0 MSS=1460 SACK_PERM=1"
"2","0.000718","131.243.1.10","142.164.6.70","TCP","58","21  >  1313 [SYN, ACK] Seq=1166102836 Ack=1734984548 Win=17520 Len=0 MSS=1460"
"6","4.705352","131.243.1.10","142.164.6.70","FTP","60","Response: 220-"
"36","13.139231","142.164.6.70","131.243.1.10","FTP","70","Request: USER anonymous"
"91","105.078090","73.6.91.115","131.243.2.12","TCP","62","2027  >  21 [SYN] Seq=4190971401 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"92","105.078378","131.243.2.12","73.6.91.115","TCP","62","21  >  2027 [SYN, ACK] Seq=364762561 Ack=4190971402 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"94","105.292565","131.243.2.12","73.6.91.115","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"95","105.474010","73.6.91.115","131.243.2.12","FTP","70","Request: USER anonymous"
"400","222.785014","82.143.24.12","131.243.2.12","TCP","62","3537  >  21 [SYN] Seq=2986625670 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"401","222.785373","131.243.2.12","82.143.24.12","TCP","62","21  >  3537 [SYN, ACK] Seq=380005575 Ack=2986625671 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"403","222.999902","131.243.2.12","82.143.24.12","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"405","223.180794","82.143.24.12","131.243.2.12","FTP","70","Request: USER anonymous"
"485","251.651531","79.37.53.67","131.243.2.12","TCP","62","35280  >  21 [SYN] Seq=4133316359 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"486","251.651806","131.243.2.12","79.37.53.67","TCP","62","21  >  35280 [SYN, ACK] Seq=383706134 Ack=4133316360 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"488","251.860465","131.243.2.12","79.37.53.67","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"489","252.039456","79.37.53.67","131.243.2.12","FTP","70","Request: USER anonymous"
"730","372.521806","67.243.63.146","131.243.1.10","TCP","62","1380  >  21 [SYN] Seq=3849101 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"731","372.522552","131.243.1.10","67.243.63.146","TCP","58","21  >  1380 [SYN, ACK] Seq=184177891 Ack=3849102 Win=17520 Len=0 MSS=1460"
"735","373.295168","131.243.1.10","67.243.63.146","FTP","60","Response: 220-"
"766","373.947988","67.243.63.146","131.243.1.10","FTP","70","Request: USER anonymous"
"801","380.893000","67.243.63.146","131.243.1.10","TCP","62","1383  >  21 [SYN] Seq=3857473 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"895","387.263386","67.243.63.146","131.243.1.10","TCP","62","1385  >  21 [SYN] Seq=3863843 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"1060","403.788599","67.243.63.146","131.243.1.10","TCP","62","1388  >  21 [SYN] Seq=3880239 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"1152","414.570994","67.243.63.146","131.243.1.10","TCP","62","1390  >  21 [SYN] Seq=3891097 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"1343","499.134708","40.175.116.120","128.3.12.44","TCP","78","45958  >  21 [SYN] Seq=897728278 Win=16384 Len=0 MSS=1460 SACK_PERM=1 WS=1 TSval=959726359 TSecr=0"
"1344","499.135563","128.3.12.44","40.175.116.120","TCP","54","21  >  45958 [SYN, ACK] Seq=726144000 Ack=897728279 Win=4096 Len=0"
