"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","113.165.230.66","131.243.1.10","TCP","62","63267  >  21 [SYN] Seq=1678493483 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"2","0.000507","131.243.1.10","113.165.230.66","TCP","58","21  >  63267 [SYN, ACK] Seq=2848448489 Ack=1678493484 Win=17520 Len=0 MSS=1460"
"4","0.674262","131.243.1.10","113.165.230.66","FTP","60","Response: 220-"
"34","1.905509","113.165.230.66","131.243.1.10","FTP","70","Request: USER anonymous"
"56","91.565033","181.223.231.99","131.243.2.12","TCP","62","3362  >  21 [SYN] Seq=2469850254 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"57","91.565344","131.243.2.12","181.223.231.99","TCP","62","21  >  3362 [SYN, ACK] Seq=2835865449 Ack=2469850255 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"59","91.788076","131.243.2.12","181.223.231.99","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"60","91.982555","181.223.231.99","131.243.2.12","FTP","70","Request: USER anonymous"
"119","126.553363","123.125.239.10","128.3.28.48","TCP","74","63004  >  21 [SYN] Seq=1171148531 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=314098082 TSecr=0 WS=1"
"120","126.553615","128.3.28.48","123.125.239.10","TCP","74","21  >  63004 [SYN, ACK] Seq=2887783774 Ack=1171148532 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=2233538616 TSecr=314098082 WS=1"
"122","127.102778","128.3.28.48","123.125.239.10","FTP","120","Response: 220 <domain> FTP server (Version wu-2.6.1-20) ready."
"126","127.383993","123.125.239.10","128.3.28.48","FTP","82","Request: USER anonymous"
"153","130.091331","123.125.239.10","128.3.28.48","TCP","74","63011  >  21 [SYN] Seq=1179361229 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=314099854 TSecr=0 WS=1"
"189","135.002801","123.125.239.10","128.3.28.48","TCP","74","63016  >  21 [SYN] Seq=1184413743 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=314102420 TSecr=0 WS=1"
"311","194.648779","79.37.53.67","131.243.2.12","TCP","62","38255  >  21 [SYN] Seq=934586305 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"312","194.649134","131.243.2.12","79.37.53.67","TCP","62","21  >  38255 [SYN, ACK] Seq=2850451775 Ack=934586306 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"314","194.861841","131.243.2.12","79.37.53.67","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"315","195.041158","79.37.53.67","131.243.2.12","FTP","70","Request: USER anonymous"
"401","216.393164","79.37.53.67","203.174.5.11","TCP","62","39897  >  21 [SYN] Seq=950349522 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"402","216.393983","203.174.5.11","79.37.53.67","TCP","58","21  >  39897 [SYN, ACK] Seq=863808000 Ack=950349523 Win=32768 Len=0 MSS=1460"
"404","216.650268","203.174.5.11","79.37.53.67","FTP","135","Response: 220 <domain> FTP server (Version 1.7.212.5 Wed May 30 12:19:42 GMT 2001) ready."
"405","216.829165","79.37.53.67","203.174.5.11","FTP","70","Request: USER anonymous"
"659","317.903117","182.125.36.184","131.243.1.10","TCP","58","46477  >  21 [SYN] Seq=2629967346 Win=8760 Len=0 MSS=1460"
"660","317.903918","131.243.1.10","182.125.36.184","TCP","58","21  >  46477 [SYN, ACK] Seq=304250576 Ack=2629967347 Win=17520 Len=0 MSS=1460"
"664","318.993490","131.243.1.10","182.125.36.184","FTP","60","Response: 220-"
"695","320.393043","182.125.36.184","131.243.1.10","FTP","70","Request: USER anonymous"
"720","333.014547","240.86.67.4","131.243.1.10","TCP","62","4036  >  21 [SYN] Seq=1950806314 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"721","333.015361","131.243.1.10","240.86.67.4","TCP","58","21  >  4036 [SYN, ACK] Seq=2446010622 Ack=1950806315 Win=17520 Len=0 MSS=1460"
"725","333.558053","131.243.1.10","240.86.67.4","FTP","60","Response: 220-"
"755","334.112098","240.86.67.4","131.243.1.10","FTP","70","Request: USER anonymous"
"932","427.781391","116.106.109.148","131.243.1.10","TCP","62","4931  >  21 [SYN] Seq=1274017979 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"933","427.782075","131.243.1.10","116.106.109.148","TCP","58","21  >  4931 [SYN, ACK] Seq=4289573324 Ack=1274017980 Win=17520 Len=0 MSS=1460"
"935","427.976812","131.243.1.10","116.106.109.148","FTP","60","Response: 220-"
"965","428.181695","116.106.109.148","131.243.1.10","FTP","70","Request: USER anonymous"
"1302","583.488722","72.192.229.59","128.3.12.44","TCP","74","2997  >  21 [SYN] Seq=1503100016 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=60821156 TSecr=0 WS=1"
"1303","583.489543","128.3.12.44","72.192.229.59","TCP","54","21  >  2997 [SYN, ACK] Seq=129664000 Ack=1503100017 Win=4096 Len=0"
"1305","583.755261","128.3.12.44","72.192.229.59","FTP","136","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Mon Dec 3 12:18:44 PST 2001) ready."
"1307","583.928787","72.192.229.59","128.3.12.44","FTP","70","Request: USER anonymous"
"1347","588.042784","79.37.53.67","131.243.2.12","TCP","62","37361  >  21 [SYN] Seq=1170577317 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"1348","588.043104","131.243.2.12","79.37.53.67","TCP","62","21  >  37361 [SYN, ACK] Seq=2908900215 Ack=1170577318 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"1393","596.195524","224.220.166.101","131.243.1.10","TCP","62","56537  >  21 [SYN] Seq=1130017749 Win=32768 Len=0 MSS=1460 WS=1"
"1394","596.196232","131.243.1.10","224.220.166.101","TCP","58","21  >  56537 [SYN, ACK] Seq=4013430997 Ack=1130017750 Win=17520 Len=0 MSS=1460"
"1396","596.226845","131.243.1.10","224.220.166.101","FTP","60","Response: 220-"
"1436","596.902413","224.220.166.101","131.243.1.10","FTP","70","Request: USER anonymous"
"1445","597.305338","246.94.203.142","203.174.5.11","TCP","62","2658  >  21 [SYN] Seq=4068834244 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"1446","597.306117","203.174.5.11","246.94.203.142","TCP","58","21  >  2658 [SYN, ACK] Seq=867392000 Ack=4068834245 Win=32768 Len=0 MSS=1460"
"1453","597.535712","203.174.5.11","246.94.203.142","FTP","135","Response: 220 <domain> FTP server (Version 1.7.212.5 Wed May 30 12:19:42 GMT 2001) ready."
"1455","597.711653","246.94.203.142","203.174.5.11","FTP","70","Request: USER anonymous"
"1541","609.971716","72.192.229.59","128.3.12.44","TCP","74","3001  >  21 [SYN] Seq=1529309888 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=60823805 TSecr=0 WS=1"
"1543","609.972625","128.3.12.44","72.192.229.59","TCP","54","21  >  3001 [SYN, ACK] Seq=134528000 Ack=1529309889 Win=4096 Len=0"
"1556","611.076824","79.37.53.67","203.174.5.11","TCP","62","40225  >  21 [SYN] Seq=1186864425 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"1557","611.077581","203.174.5.11","79.37.53.67","TCP","58","21  >  40225 [SYN, ACK] Seq=867904000 Ack=1186864426 Win=32768 Len=0 MSS=1460"
"1628","616.920177","72.192.229.59","128.3.12.44","TCP","74","3003  >  21 [SYN] Seq=1548218916 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=60824499 TSecr=0 WS=1"
"1690","622.060256","72.192.229.59","128.3.12.44","TCP","74","3005  >  21 [SYN] Seq=1543681211 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=60825013 TSecr=0 WS=1"
"1848","658.590381","27.172.198.213","131.243.1.10","TCP","74","1025  >  21 [SYN] Seq=1586062586 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=10610719 TSecr=0 WS=1"
"1849","658.591092","131.243.1.10","27.172.198.213","TCP","58","21  >  1025 [SYN, ACK] Seq=1469381378 Ack=1586062587 Win=17520 Len=0 MSS=1460"
"1853","658.979579","131.243.1.10","27.172.198.213","FTP","60","Response: 220-"
"1886","659.583244","27.172.198.213","131.243.1.10","FTP","70","Request: USER anonymous"
"1983","684.440312","177.87.134.55","131.243.1.10","TCP","62","14462  >  21 [SYN] Seq=4203434425 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"1984","684.440825","131.243.1.10","177.87.134.55","TCP","58","21  >  14462 [SYN, ACK] Seq=2437754288 Ack=4203434426 Win=17520 Len=0 MSS=1460"
"1987","684.652490","131.243.1.10","177.87.134.55","FTP","60","Response: 220-"
"2017","684.875705","177.87.134.55","131.243.1.10","FTP","70","Request: USER anonymous"
"2153","736.109534","72.192.229.59","128.3.12.44","TCP","74","3014  >  21 [SYN] Seq=1686578557 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=60836418 TSecr=0 WS=1"
"2211","755.310998","195.55.62.39","131.243.1.10","TCP","78","52511  >  21 [SYN] Seq=3684174973 Win=16384 Len=0 MSS=1460 SACK_PERM=1 WS=1 TSval=148884112 TSecr=0"
"2212","755.311686","131.243.1.10","195.55.62.39","TCP","58","21  >  52511 [SYN, ACK] Seq=2516191693 Ack=3684174974 Win=17520 Len=0 MSS=1460"
"2214","755.471440","131.243.1.10","195.55.62.39","FTP","60","Response: 220-"
"2244","755.641016","195.55.62.39","131.243.1.10","FTP","70","Request: USER anonymous"
"2323","784.629027","158.218.249.29","131.243.1.10","TCP","74","40517  >  21 [SYN] Seq=1919850843 Win=5608 Len=0 MSS=1402 TSval=309536559 TSecr=0 WS=1"
"2324","784.629730","131.243.1.10","158.218.249.29","TCP","58","21  >  40517 [SYN, ACK] Seq=485991313 Ack=1919850844 Win=16824 Len=0 MSS=1460"
"2326","784.812677","131.243.1.10","158.218.249.29","FTP","60","Response: 220-"
"2356","785.142766","158.218.249.29","131.243.1.10","FTP","70","Request: USER anonymous"
"2388","786.830732","158.218.249.29","131.243.1.10","TCP","74","48676  >  21 [SYN] Seq=1925727702 Win=5608 Len=0 MSS=1402 TSval=309536779 TSecr=0 WS=1"
"2389","786.831167","131.243.1.10","158.218.249.29","TCP","58","21  >  48676 [SYN, ACK] Seq=4199815486 Ack=1925727703 Win=16824 Len=0 MSS=1460"
"2538","840.910511","65.240.185.205","131.243.2.12","TCP","62","1841  >  21 [SYN] Seq=3124187105 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"2539","840.910745","131.243.2.12","65.240.185.205","TCP","62","21  >  1841 [SYN, ACK] Seq=2950256608 Ack=3124187106 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"2543","841.336045","131.243.2.12","65.240.185.205","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"2544","841.645651","65.240.185.205","131.243.2.12","FTP","70","Request: USER anonymous"
"2577","849.900141","16.18.143.122","131.243.1.10","TCP","74","3601  >  21 [SYN] Seq=2699103329 Win=16384 Len=0 MSS=1460 WS=1 TSval=1680806044 TSecr=0"
"2578","849.900657","131.243.1.10","16.18.143.122","TCP","58","21  >  3601 [SYN, ACK] Seq=3585163381 Ack=2699103330 Win=17520 Len=0 MSS=1460"
"2582","850.226476","131.243.1.10","16.18.143.122","FTP","60","Response: 220-"
"2613","850.560340","16.18.143.122","131.243.1.10","FTP","70","Request: USER anonymous"
"2943","965.795819","230.101.18.175","128.3.12.44","TCP","74","1914  >  21 [SYN] Seq=2631955524 Win=57344 Len=0 MSS=1460 WS=1 TSval=279964170 TSecr=0"
"2944","965.796706","128.3.12.44","230.101.18.175","TCP","54","21  >  1914 [SYN, ACK] Seq=200320000 Ack=2631955525 Win=4096 Len=0"
"2946","966.222204","128.3.12.44","230.101.18.175","FTP","136","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Mon Dec 3 12:18:44 PST 2001) ready."
"2950","966.550812","230.101.18.175","128.3.12.44","FTP","70","Request: USER anonymous"
"3007","982.204114","79.37.53.67","131.243.2.12","TCP","62","37332  >  21 [SYN] Seq=1407814872 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"3100","1004.193116","79.37.53.67","203.174.5.11","TCP","62","38798  >  21 [SYN] Seq=1423931211 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"3101","1004.193880","203.174.5.11","79.37.53.67","TCP","58","21  >  38798 [SYN, ACK] Seq=883072000 Ack=1423931212 Win=32768 Len=0 MSS=1460"
"3465","1193.751233","41.54.26.143","131.243.1.10","TCP","62","18676  >  21 [SYN] Seq=1109730945 Win=16384 Len=0 MSS=1400 SACK_PERM=1"
"3466","1193.751874","131.243.1.10","41.54.26.143","TCP","58","21  >  18676 [SYN, ACK] Seq=688266487 Ack=1109730946 Win=16800 Len=0 MSS=1460"
"3470","1193.976327","131.243.1.10","41.54.26.143","FTP","60","Response: 220-"
"3501","1194.268035","41.54.26.143","131.243.1.10","FTP","70","Request: USER anonymous"
"3569","1359.106848","181.223.231.99","131.243.2.12","TCP","62","2921  >  21 [SYN] Seq=212682238 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"3570","1359.107127","131.243.2.12","181.223.231.99","TCP","62","21  >  2921 [SYN, ACK] Seq=3034323179 Ack=212682239 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"3587","1361.844170","79.37.53.67","131.243.2.12","TCP","62","40373  >  21 [SYN] Seq=1641289142 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"3588","1361.844496","131.243.2.12","79.37.53.67","TCP","62","21  >  40373 [SYN, ACK] Seq=3034693120 Ack=1641289143 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"3683","1385.388847","79.37.53.67","203.174.5.11","TCP","62","39096  >  21 [SYN] Seq=1657917497 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"3793","1420.360243","89.124.219.32","131.243.2.12","TCP","62","1886  >  21 [SYN] Seq=1567835972 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"3794","1420.360498","131.243.2.12","89.124.219.32","TCP","62","21  >  1886 [SYN, ACK] Seq=3042852714 Ack=1567835973 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"3796","1420.603924","131.243.2.12","89.124.219.32","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"3797","1420.790639","89.124.219.32","131.243.2.12","FTP","70","Request: USER anonymous"
"3841","1432.019538","123.125.239.10","128.3.28.48","TCP","74","63662  >  21 [SYN] Seq=2541902128 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=314766563 TSecr=0 WS=1"
"3887","1437.712185","123.125.239.10","128.3.28.48","TCP","74","63666  >  21 [SYN] Seq=2540436333 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=314769479 TSecr=0 WS=1"
"3933","1443.649735","1.126.179.169","131.243.1.10","TCP","58","12340  >  21 [SYN] Seq=725323911 Win=512 Len=0 MSS=1460"
"3934","1443.650437","131.243.1.10","1.126.179.169","TCP","58","21  >  12340 [SYN, ACK] Seq=997332839 Ack=725323912 Win=17520 Len=0 MSS=1460"
"3946","1444.522067","131.243.1.10","1.126.179.169","FTP","60","Response: 220-"
"3979","1445.603785","1.126.179.169","131.243.1.10","FTP","70","Request: USER anonymous"
"4067","1459.978740","69.88.8.56","131.243.1.10","TCP","62","2569  >  21 [SYN] Seq=3829444673 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"4068","1459.979211","131.243.1.10","69.88.8.56","TCP","58","21  >  2569 [SYN, ACK] Seq=2352168365 Ack=3829444674 Win=17520 Len=0 MSS=1460"
"4072","1460.127326","131.243.1.10","69.88.8.56","FTP","60","Response: 220-"
"4102","1460.286148","69.88.8.56","131.243.1.10","FTP","70","Request: USER anonymous"
"4276","1495.115862","104.205.27.72","128.3.28.48","TCP","74","42694  >  21 [SYN] Seq=2708560480 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=335107530 TSecr=0 WS=1"
"4277","1495.116162","128.3.28.48","104.205.27.72","TCP","74","21  >  42694 [SYN, ACK] Seq=50011526 Ack=2708560481 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=2233675459 TSecr=335107530 WS=1"
"4279","1495.581955","128.3.28.48","104.205.27.72","FTP","120","Response: 220 <domain> FTP server (Version wu-2.6.1-20) ready."
"4283","1495.678325","104.205.27.72","128.3.28.48","FTP","82","Request: USER anonymous"
"4309","1496.657565","104.205.27.72","128.3.28.48","TCP","74","42696  >  21 [SYN] Seq=2721548107 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=335108318 TSecr=0 WS=1"
"4344","1498.139052","104.205.27.72","128.3.28.48","TCP","74","42698  >  21 [SYN] Seq=2712879308 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=335109079 TSecr=0 WS=1"
"4402","1505.838991","104.205.27.72","128.3.28.48","TCP","74","42700  >  21 [SYN] Seq=2727342159 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=335113022 TSecr=0 WS=1"
"4466","1519.171471","30.146.52.247","131.243.1.10","TCP","62","2412  >  21 [SYN] Seq=775738884 Win=8192 Len=0 MSS=1380 SACK_PERM=1"
"4467","1519.172052","131.243.1.10","30.146.52.247","TCP","58","21  >  2412 [SYN, ACK] Seq=2874677368 Ack=775738885 Win=16560 Len=0 MSS=1460"
"4473","1519.696770","131.243.1.10","30.146.52.247","FTP","60","Response: 220-"
"4505","1520.294553","30.146.52.247","131.243.1.10","FTP","70","Request: USER anonymous"
"4537","1523.469217","104.205.27.72","128.3.28.48","TCP","74","42702  >  21 [SYN] Seq=2754166692 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=335122051 TSecr=0 WS=1"
"4581","1525.509820","104.205.27.72","128.3.28.48","TCP","74","42704  >  21 [SYN] Seq=2767961232 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=335123096 TSecr=0 WS=1"
"4625","1527.876331","104.205.27.72","128.3.28.48","TCP","74","42706  >  21 [SYN] Seq=2758752492 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=335124308 TSecr=0 WS=1"
"4700","1532.761359","136.108.93.122","203.174.5.11","TCP","62","29456  >  21 [SYN] Seq=2973765677 Win=32768 Len=0 MSS=1460 WS=1"
"4701","1532.762264","203.174.5.11","136.108.93.122","TCP","58","21  >  29456 [SYN, ACK] Seq=897216000 Ack=2973765678 Win=32768 Len=0 MSS=1460"
"4730","1535.635365","203.174.5.11","136.108.93.122","FTP","135","Response: 220 <domain> FTP server (Version 1.7.212.5 Wed May 30 12:19:42 GMT 2001) ready."
"4734","1535.948884","136.108.93.122","203.174.5.11","FTP","70","Request: USER anonymous"
"4748","1536.815260","20.191.125.223","242.70.74.100","TCP","58","52099  >  21 [SYN] Seq=1131396769 Win=8760 Len=0 MSS=1460"
"4749","1536.816475","242.70.74.100","20.191.125.223","TCP","58","21  >  52099 [SYN, ACK] Seq=26259049 Ack=1131396770 Win=8760 Len=0 MSS=1460"
"4753","1536.997430","30.146.52.247","131.243.1.10","TCP","62","2414  >  21 [SYN] Seq=1189977737 Win=8192 Len=0 MSS=1380 SACK_PERM=1"
"4755","1537.135304","242.70.74.100","20.191.125.223","FTP","98","Response: 220 <domain> FTP server (SunOS 5.6) ready."
"4762","1537.346757","20.191.125.223","242.70.74.100","FTP","70","Request: USER anonymous"
"4919","1542.215310","30.146.52.247","131.243.1.10","TCP","62","2416  >  21 [SYN] Seq=129593226 Win=8192 Len=0 MSS=1380 SACK_PERM=1"
"5384","1648.182423","120.186.15.61","131.243.1.10","TCP","74","3333  >  21 [SYN] Seq=2580967875 Win=16060 Len=0 MSS=1460 SACK_PERM=1 TSval=26161526 TSecr=0 WS=1"
"5385","1648.183075","131.243.1.10","120.186.15.61","TCP","58","21  >  3333 [SYN, ACK] Seq=1880614981 Ack=2580967876 Win=17520 Len=0 MSS=1460"
"5387","1648.412214","131.243.1.10","120.186.15.61","FTP","60","Response: 220-"
"5418","1648.915418","120.186.15.61","131.243.1.10","FTP","70","Request: USER anonymous"
